,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation,date
0,77.5,71.9,82.8,12.8,29.6,0.3,2021-09-01
1,71.1,53.0,55.0,11.7,29.9,1.04,2021-09-02
2,69.7,53.0,57.0,6.1,30.1,0.0,2021-09-03
3,70.8,58.7,66.7,4.5,30.0,0.0,2021-09-04
4,73.1,64.5,74.6,6.8,29.9,0.0,2021-09-05
5,77.7,60.3,58.3,6.8,29.9,0.01,2021-09-06
6,75.2,61.3,63.7,7.0,30.0,0.0,2021-09-07
7,76.2,67.4,74.8,11.1,29.8,0.0,2021-09-08
8,72.3,64.1,76.4,7.2,29.8,0.25,2021-09-09
9,70.3,52.1,53.5,10.3,30.0,0.0,2021-09-10
10,70.2,56.8,63.8,5.9,30.2,0.0,2021-09-11
11,74.3,62.6,68.1,9.8,30.1,0.0,2021-09-12
12,80.3,66.7,65.2,6.8,30.1,0.0,2021-09-13
13,80.2,69.8,72.0,4.4,30.0,0.0,2021-09-14
14,80.1,68.0,68.2,10.4,30.0,0.0,2021-09-15
15,75.4,68.4,79.4,7.9,30.1,0.0,2021-09-16
16,75.1,69.8,83.6,8.5,30.2,0.79,2021-09-17
17,74.6,69.3,84.2,3.4,30.1,0.01,2021-09-18
18,76.3,63.0,64.8,6.5,30.1,0.0,2021-09-19
19,71.9,59.2,65.5,6.9,30.3,0.0,2021-09-20
20,73.6,63.4,70.9,7.6,30.2,0.0,2021-09-21
21,75.2,69.9,83.7,11.2,30.0,0.0,2021-09-22
22,68.1,61.2,79.8,11.7,29.8,1.47,2021-09-23
23,65.6,48.5,56.3,6.0,30.1,0.16,2021-09-24
24,66.6,52.2,62.5,4.2,30.0,0.0,2021-09-25
25,68.3,47.7,50.0,8.8,30.0,0.0,2021-09-26
26,68.5,53.3,59.8,8.3,30.0,0.0,2021-09-27
27,72.9,59.4,63.6,6.6,29.9,0.0,2021-09-28
28,66.6,48.6,54.2,7.8,30.0,0.0,2021-09-29
29,65.3,49.3,58.1,6.4,30.1,0.0,2021-09-30
